"","country","cnt_code","year","va","ps","ge","rq","rl","cc","fh"
"158","Korea, Dem. Rep.","PRK",2016,"-2,13","-0,71","-1,65","-2,33","-1,63","-1,45","7"
"159","Portugal","PRT",2016,"1,17","1,02","1,22","0,84","1,13","0,96","1"
"160","Paraguay","PRY",2016,"-0,04","0,20","-0,77","-0,30","-0,67","-0,75","3"
"161","Qatar","QAT",2016,"-1,20","0,87","0,75","0,70","0,86","0,92","5,5"
"163","Romania","ROM",2016,"0,51","0,27","-0,17","0,59","0,30","0,00","2"
"164","Russian Federation","RUS",2016,"-1,21","-0,89","-0,22","-0,42","-0,80","-0,86","6"
"165","Rwanda","RWA",2016,"-1,21","-0,05","0,11","0,11","0,07","0,69","6"
"166","Samoa","WSM",2016,"0,76","1,19","0,54","-0,10","0,76","0,28","2"
"167","Saudi Arabia","SAU",2016,"-1,78","-0,50","0,24","0,08","0,47","0,23","7"
"168","Sudan","SDN",2016,"-1,80","-2,38","-1,41","-1,49","-1,26","-1,61","7"
"169","Senegal","SEN",2016,"0,37","-0,27","-0,47","-0,14","-0,19","-0,03","2"
"170","Singapore","SGP",2016,"-0,28","1,53","2,21","2,18","1,83","2,07","4"
"171","Solomon Islands","SLB",2016,"0,49","0,51","-0,99","-0,96","-0,34","-0,34","3"
"172","Sierra Leone","SLE",2016,"-0,13","-0,16","-1,20","-0,93","-0,79","-0,82","3"
"173","El Salvador","SLV",2016,"0,28","-0,06","-0,28","0,09","-0,71","-0,57","2,5"
"175","Somalia","SOM",2016,"-1,83","-2,33","-2,18","-2,27","-2,37","-1,69","7"
"176","São Tomé and Principe","STP",2016,"0,45","0,23","-0,68","-0,81","-0,69","-0,06","2"
"177","Suriname","SUR",2016,"0,46","0,27","-0,34","-0,63","-0,12","-0,32","2,5"
"178","Slovak Republic","SVK",2016,"0,94","0,62","0,89","0,89","0,69","0,24","1"
"179","Slovenia","SVN",2016,"1,00","0,99","1,12","0,64","1,08","0,80","1"
"180","Sweden","SWE",2016,"1,50","0,98","1,79","1,85","2,04","2,22","1"
"181","Swaziland","SWZ",2016,"-1,42","-0,49","-0,56","-0,58","-0,32","-0,44","6"
"182","Seychelles","SYC",2016,"0,16","0,72","0,36","-0,26","0,13","0,79","3"
"183","Syrian Arab Republic","SYR",2016,"-1,96","-2,91","-1,82","-1,67","-2,01","-1,57","7"
"184","Chad","TCD",2016,"-1,34","-1,21","-1,49","-1,18","-1,43","-1,45","6,5"
"185","Togo","TGO",2016,"-0,51","-0,20","-1,08","-0,79","-0,68","-0,68","4"
"186","Thailand","THA",2016,"-1,10","-0,93","0,34","0,17","0,01","-0,40","5,5"
"187","Tajikistan","TJK",2016,"-1,67","-0,79","-1,02","-1,09","-1,18","-1,07","6,5"
"188","Turkmenistan","TKM",2016,"-2,13","-0,31","-1,14","-2,09","-1,56","-1,46","7"
"189","Timor-Leste","TMP",2016,"0,24","-0,08","-1,03","-0,98","-1,20","-0,51","3"
"190","Tonga","TON",2016,"0,67","0,91","-0,29","-0,41","0,24","-0,44","2"
"191","Trinidad and Tobago","TTO",2016,"0,60","0,28","0,22","0,09","-0,16","-0,26","2"
"192","Tunisia","TUN",2016,"0,33","-0,99","-0,21","-0,47","0,02","-0,12","2"
"193","Turkey","TUR",2016,"-0,63","-2,00","0,05","0,20","-0,16","-0,20","3,5"
"194","Tuvalu","TUV",2016,"1,09","1,40","-0,93","-0,59","0,46","0,03","1"
"195","Taiwan, China","TWN",2016,"1,04","0,93","1,37","1,29","1,14","0,86","1,5"
"196","Tanzania","TZA",2016,"-0,18","-0,41","-0,55","-0,44","-0,39","-0,51","3,5"
"197","Uganda","UGA",2016,"-0,71","-0,72","-0,57","-0,21","-0,24","-1,06","5,5"
"198","Ukraine","UKR",2016,"0,02","-1,89","-0,58","-0,43","-0,77","-0,84","3"
"199","Uruguay","URY",2016,"1,18","1,10","0,55","0,49","0,63","1,32","1"
"200","United States","USA",2016,"1,10","0,35","1,48","1,50","1,67","1,33","1"
"201","Uzbekistan","UZB",2016,"-1,89","-0,34","-0,60","-1,62","-1,13","-1,20","7"
"202","St. Vincent and the Grenadines","VCT",2016,"1,04","1,01","0,21","0,28","0,41","0,68","1"
"203","Venezuela, RB","VEN",2016,"-1,13","-1,03","-1,29","-2,00","-2,18","-1,39","5"
"205","Vietnam","VNM",2016,"-1,41","0,17","0,01","-0,45","0,05","-0,40","6"
"206","Vanuatu","VUT",2016,"0,69","0,51","-0,88","-0,29","0,32","-0,10","2"
"207","West Bank and Gaza","WBG",2016,"-1,17","-2,10","-0,62","0,06","-0,31","-0,15","5,5"
"208","Jersey, Channel Islands","JEY",2016,"1,27","1,32","1,28","0,70","1,74","1,14",""
"209","Yemen, Rep.","YEM",2016,"-1,65","-2,79","-1,82","-1,48","-1,60","-1,67","6,5"
"210","Serbia","SRB",2016,"0,21","0,05","0,09","0,06","-0,12","-0,31","2"
"211","South Africa","ZAF",2016,"0,64","-0,13","0,27","0,21","0,07","0,05","2"
"212","Congo, Dem. Rep.","ZAR",2016,"-1,39","-2,20","-1,51","-1,32","-1,61","-1,33","6"
"213","Zambia","ZMB",2016,"-0,30","0,18","-0,66","-0,48","-0,30","-0,40","3,5"
"214","Zimbabwe","ZWE",2016,"-1,11","-0,61","-1,16","-1,72","-1,32","-1,28","5"
